,listing_id,travel_score
799,Rome1366699,3.0
800,Rome1367990,3.0
801,Rome13685778,2.0
802,Rome13700490,2.0
803,Rome137044,5.0
804,Rome13704631,2.0
805,Rome13709722,2.0
806,Rome1371698,3.0
807,Rome13720683,3.0
808,Rome13723238,3.0
809,Rome1373696,5.0
810,Rome13749590,3.0
811,Rome13754461,1.0
812,Rome13759775,5.0
813,Rome13760282,1.0
814,Rome13761619,5.0
815,Rome13762181,2.0
816,Rome137713,5.0
817,Rome13775839,3.0
818,Rome13780941,2.0
819,Rome13784543,5.0
820,Rome13791048,4.0
821,Rome1379166,2.0
822,Rome1379683,2.0
823,Rome13797492,3.0
824,Rome1380573,5.0
825,Rome13806199,4.0
826,Rome13807013,5.0
827,Rome13807152,5.0
828,Rome13816868,4.0
829,Rome13820143,3.0
830,Rome13820644,4.0
831,Rome13823128,2.0
832,Rome13837782,5.0
833,Rome1384595,2.0
834,Rome1385250,5.0
835,Rome13854881,3.0
836,Rome13863425,4.0
837,Rome13877960,2.0
838,Rome13881401,4.0
839,Rome13888787,3.0
840,Rome13896668,5.0
841,Rome13897655,5.0
842,Rome13902864,4.0
843,Rome13906858,1.0
844,Rome13917074,2.0
845,Rome13920294,3.0
846,Rome13923188,5.0
847,Rome13927111,3.0
848,Rome13948299,3.0
849,Rome13949626,5.0
850,Rome1395206,3.0
851,Rome13953627,3.0
852,Rome1395729,5.0
853,Rome13957796,2.0
854,Rome1396390,1.0
855,Rome13971712,1.0
856,Rome13973305,3.0
857,Rome13989119,5.0
858,Rome13990198,4.0
859,Rome13991086,5.0
860,Rome13995364,5.0
861,Rome14000800,2.0
862,Rome14001467,1.0
863,Rome14003909,3.0
864,Rome14006357,1.0
865,Rome14033700,5.0
866,Rome14034898,5.0
867,Rome1405707,1.0
868,Rome1405824,5.0
869,Rome14065044,4.0
870,Rome14080773,4.0
871,Rome14081776,4.0
872,Rome14082677,3.0
873,Rome14084294,1.0
874,Rome1410746,3.0
875,Rome14107681,2.0
